county,merge_loc,salesfy11,salesfy12,salesfy13,salesfy14
Dekalb,"DeKalb County, Illinois",681245,1105568,1690976,918965
Lake,"Lake County, Illinois",6243246,9575068,15294282,8206901
Cook,"Cook County, Illinois",43392157,63848531,100743895,54163779
Dupage,"Dupage County, Illinois",8577501,13280307,21312832,11398785
Kane,"Kane County, Illinois",3351440,5099845,8462289,4489559
Will,"Will County, Illinois",5645999,8738188,13878872,7366992
Grundy,"Grundy County, Illinois",534934,892919,1368618,720470
Livingston,"Livingston County, Illinois",246783,414287,641271,344744
Lee,"Lee County, Illinois",287431,433592,664022,382370
Kendall,"Kendall County, Illinois",743630,1093171,1787667,954131
Dewitt,"De Witt County, Illinois",94012,146005,197987,110171
La Salle,"LaSalle County, Illinois",888416,1441921,2215931,1228202
Kankakee,"Kankakee County, Illinois",851965,1288668,1980167,1074072
Iroquois,"Iroquois County, Illinois",164230,267123,404210,209207
Ford,"Ford County, Illinois",83949,135090,197924,111735
Vermilion,"Vermilion County, Illinois",527469,852008,1243307,716252
Jo Daviess,"Jo Daviess County, Illinois",229091,361351,534715,318771
Boone,"Boone County, Illinois",337430,526015,833834,465561
Ogle,"Ogle County, Illinois",369118,555062,904573,508630
Stephenson,"Stephenson County, Illinois",411672,549071,781293,467039
Winnebago,"Winnebago County, Illinois",2275019,3467113,5578807,3108446
Carroll,"Carroll County, Illinois",112447,183377,272051,162060
Whiteside,"Whiteside County, Illinois",394249,622612,922670,517227
Rock Island,"Rock Island County, Illinois",1340828,1986243,2943083,1704674
Mercer,"Mercer County, Illinois",83037,133232,217072,126213
Henry,"Henry County, Illinois",343837,541551,810855,460118
Bureau,"Bureau County, Illinois",232510,336117,520621,291255
Putnam,"Putnam County, Illinois",30743,46387,68232,37433
Marshall,"Marshall County, Illinois",95366,152739,209452,104060
Knox,"Knox County, Illinois",291760,420585,653136,387154
Mcdonough,"McDonough County, Illinois",126355,195897,297218,165412
Fulton,"Fulton County, Illinois",161905,275498,424760,250300
Henderson,"Henderson County, Illinois",50670,82850,116526,68531
Stark,"Stark County, Illinois",16138,28231,43483,21699
Hancock,"Hancock County, Illinois",103136,156573,223829,134920
Warren,"Warren County, Illinois",93270,127744,211084,122225
Peoria,"Peoria County, Illinois",974358,1456774,2277095,1251338
Woodford,"Woodford County, Illinois",137723,215369,342747,190288
Mason,"Mason County, Illinois",69422,121114,162585,92676
Tazewell,"Tazewell County, Illinois",814032,1255087,1862161,1027860
Mchenry,"McHenry County, Illinois",2381356,3648541,5826758,3092989
Logan,"Logan County, Illinois",135379,209132,315820,173780
Macon,"Macon County, Illinois",585932,908566,1333305,736865
Mclean,"McLean County, Illinois",838607,1426646,2237445,1194797
Champaign,"Champaign County, Illinois",993585,1463862,2248354,1242967
Piatt,"Piatt County, Illinois",76598,106095,202993,117771
Douglas,"Douglas County, Illinois",104573,165402,274636,146832
Coles,"Coles County, Illinois",243660,383014,575614,304832
Moultrie,"Moultrie County, Illinois",39239,63659,102516,54773
Edgar,"Edgar County, Illinois",117211,183281,261153,150208
Shelby,"Shelby County, Illinois",61835,113489,165e3,90809
Madison,"Madison County, Illinois",2281703,3263100,5037870,3044793
